dataset,model,training_mode,epochs,learning_rate,checkpoint,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
organs,ResNet18,scratch,20,0.001,,60.5000,0.5800,0.4931,0.4939,0.6287,0.6050,0.5790
organs,ResNet18,transfer_from_orgs,20,0.0001,checkpoints/orgs_ResNet18.pth,66.0000,0.6234,0.6015,0.5863,0.6692,0.6600,0.6440
